sample	read	num_seqs	num_poor_qual	sequence_length	per_N_seq_qual	         per_seq_qual	overrepresented
Tco-106	1	100000	0	                         100	PASS	PASS	                         WARN
Tco-106	2	100000	0	                         100	PASS	PASS	                         WARN
Tco-122	1	100000	0	                         100	PASS	PASS	                         PASS
Tco-122	2	100000	0	                         100	PASS	PASS	                         PASS
Tco-159	1	100000	0	                         100	PASS	PASS	                         PASS
Tco-159	2	100000	0	                         100	PASS	PASS	                         PASS
Tco-160	1	100000	0	                         100	PASS	PASS	                         PASS
Tco-160	2	100000	0	                         100	PASS	PASS	                         PASS
Tco-17	1	100000	0	                         100	PASS	PASS	                         PASS
Tco-17	2	100000	0	                         100	PASS	PASS	                         PASS
Tco-182	1	100000	0	                         100	PASS	PASS	                         PASS
Tco-182	2	100000	0	                         100	PASS	PASS	                         PASS
Tco-21	1	100000	0	                         100	PASS	PASS	                         WARN
Tco-21	2	100000	0	                         100	PASS	PASS	                         WARN
Tco-229	1	100000	0	                         100	PASS	PASS	                         PASS
Tco-229	2	100000	0	                         100	PASS	PASS	                         PASS
Tco-230	1	100000	0	                         100	PASS	PASS	                         WARN
Tco-230	2	100000	0	                         100	PASS	PASS	                         WARN
Tco-28	1	100000	0	                         100	PASS	PASS	                         PASS
Tco-28	2	100000	0	                         100	PASS	PASS	                         PASS
Tco-290	1	100000	0	                         100	PASS	PASS	                         PASS
Tco-290	2	100000	0	                         100	PASS	PASS	                         WARN
Tco-362	1	100000	0	                         100	PASS	PASS	                         PASS
Tco-362	2	100000	0	                         100	PASS	PASS	                         WARN
Tco-392	1	100000	0	                         100	PASS	PASS	                         PASS
Tco-392	2	100000	0	                         100	PASS	PASS	                         PASS
Tco-397	1	100000	0	                         100	PASS	PASS	                         WARN
Tco-397	2	100000	0	                         100	PASS	PASS	                         WARN
Tco-398	1	100000	0	                         100	PASS	PASS	                         PASS
Tco-398	2	100000	0	                         100	PASS	PASS	                         PASS
Tco-427	1	100000	0	                         100	PASS	PASS	                         PASS
Tco-427	2	100000	0	                         100	PASS	PASS	                         WARN
Tco-444	1	100000	0	                         100	PASS	PASS	                         PASS
Tco-444	2	100000	0	                         100	PASS	PASS	                         PASS
Tco-467	1	100000	0	                         100	PASS	PASS	                         PASS
Tco-467	2	100000	0	                         100	PASS	PASS	                         PASS
Tco-480	1	100000	0	                         100	PASS	PASS	                         PASS
Tco-480	2	100000	0	                         100	PASS	PASS	                         PASS
Tco-483	1	100000	0	                         100	PASS	PASS	                         PASS
Tco-483	2	100000	0	                         100	PASS	PASS	                         PASS
Tco-486	1	100000	0	                         100	PASS	PASS	                         PASS
Tco-486	2	100000	0	                         100	PASS	PASS	                         PASS
Tco-503	1	100000	0	                         100	PASS	PASS	                         PASS
Tco-503	2	100000	0	                         100	PASS	PASS	                         PASS
Tco-522	1	100000	0	                         100	PASS	PASS	                         WARN
Tco-522	2	100000	0	                         100	PASS	PASS	                         WARN
Tco-549	1	100000	0	                         100	PASS	PASS	                         PASS
Tco-549	2	100000	0	                         100	PASS	PASS	                         PASS
Tco-580	1	100000	0	                         100	PASS	PASS	                         PASS
Tco-580	2	100000	0	                         100	PASS	PASS	                         PASS
Tco-582	1	100000	0	                         100	PASS	PASS	                         PASS
Tco-582	2	100000	0	                         100	PASS	PASS	                         PASS
Tco-596	1	100000	0	                         100	PASS	PASS	                         PASS
Tco-596	2	100000	0	                         100	PASS	PASS	                         WARN
Tco-613	1	100000	0	                         100	PASS	PASS	                         WARN
Tco-613	2	100000	0	                         100	PASS	PASS	                         PASS
Tco-622	1	100000	0	                         100	PASS	PASS	                         PASS
Tco-622	2	100000	0	                         100	PASS	PASS	                         PASS
Tco-633	1	100000	0	                         100	PASS	PASS	                         PASS
Tco-633	2	100000	0	                         100	PASS	PASS	                         PASS
Tco-674	1	100000	0	                         100	PASS	PASS	                         WARN
Tco-674	2	100000	0	                         100	PASS	PASS	                         WARN
Tco-702	1	100000	0	                         100	PASS	PASS	                         PASS
Tco-702	2	100000	0	                         100	PASS	PASS	                         PASS
Tco-719	1	100000	0	                         100	PASS	PASS	                         WARN
Tco-719	2	100000	0	                         100	PASS	PASS	                         WARN
Tco-752	1	100000	0	                         100	PASS	PASS	                         PASS
Tco-752	2	100000	0	                         100	PASS	PASS	                         PASS
Tco-754	1	100000	0	                         100	PASS	PASS	                         PASS
Tco-754	2	100000	0	                         100	PASS	PASS	                         PASS
Tco-757	1	100000	0	                         100	PASS	PASS	                         PASS
Tco-757	2	100000	0	                         100	PASS	PASS	                         PASS
Tco-76	1	100000	0	                         100	PASS	PASS	                         WARN
Tco-76	2	100000	0	                         100	PASS	PASS	                         WARN
Tco-851	1	100000	0	                         100	PASS	PASS	                         WARN
Tco-851	2	100000	0	                         100	PASS	PASS	                         PASS
Tco-859	1	100000	0	                         100	PASS	PASS	                         WARN
Tco-859	2	100000	0	                         100	PASS	PASS	                         WARN
Tco-86	1	100000	0	                         100	PASS	PASS	                         WARN
Tco-86	2	100000	0	                         100	PASS	PASS	                         WARN
Tco-878	1	100000	0	                         100	PASS	PASS	                         WARN
Tco-878	2	100000	0	                         100	PASS	PASS	                         WARN
Tco-892	1	100000	0	                         100	PASS	PASS	                         WARN
Tco-892	2	100000	0	                         100	PASS	PASS	                         WARN
Tco-907	1	100000	0	                         100	PASS	PASS	                         PASS
Tco-907	2	100000	0	                         100	PASS	PASS	                         PASS
Tco-935	1	100000	0	                         100	PASS	PASS	                         PASS
Tco-935	2	100000	0	                         100	PASS	PASS	                         WARN
Tco-949	1	100000	0	                         100	PASS	PASS	                         PASS
Tco-949	2	100000	0	                         100	PASS	PASS	                         PASS
Tco-960	1	100000	0	                         100	PASS	PASS	                         PASS
Tco-960	2	100000	0	                         100	PASS	PASS	                         WARN
Tco-964	1	100000	0	                         100	PASS	PASS	                         PASS
Tco-964	2	100000	0	                         100	PASS	PASS	                         PASS
Tco-999	1	100000	0	                         100	PASS	PASS	                         WARN
Tco-999	2	100000	0	                         100	PASS	PASS	                         WARN
